X:0.1,Y:0.1,X:0.02,Y:0.02,X:0.04,Y:0.04,,,,,,,,,,,,,,,,,,,,,,,ID
0.05,-0.006228,0.01,-0.006582,0.02,-0.002949,,,,,,,,,,,,,,,,,,,,,,,
0.0536546,-0.019419,0.0125079,-0.032909,0.0227422,-0.016125,,,,,,,,,,,,,,,,,,,,,,,
0.0549956,-0.04218,0.0133076,-0.078384,0.0238235,-0.044887,,,,,,,,,,,,,,,,,,,,,,,
0.0568733,-0.072129,0.0138388,-0.120269,0.0257153,-0.092822,,,,,,,,,,,,,,,,,,,,,,,
0.0587494,-0.111659,0.0143709,-0.156171,0.0265323,-0.150348,,,,,,,,,,,,,,,,,,,,,,,
0.059551,-0.1428,0.014632,-0.204039,0.026808,-0.189898,,,,,,,,,,,,,,,,,,,,,,,
0.0614265,-0.185923,0.0154327,-0.24353,0.0276228,-0.234241,,,,,,,,,,,,,,,,,,,,,,,
0.0616906,-0.214667,0.0159644,-0.281825,0.028439,-0.286973,,,,,,,,,,,,,,,,,,,,,,,
0.0635641,-0.269766,0.0162203,-0.318923,0.0300655,-0.357681,,,,,,,,,,,,,,,,,,,,,,,
0.0657068,-0.323668,0.0162273,-0.360808,0.0306112,-0.402024,,,,,,,,,,,,,,,,,,,,,,,
0.0678466,-0.394337,0.0170217,-0.395512,0.031426,-0.446367,,,,,,,,,,,,,,,,,,,,,,,
0.0713342,-0.447048,0.017284,-0.4362,0.03278,-0.4967,,,,,,,,,,,,,,,,,,,,,,,
0.0740168,-0.488977,0.0186223,-0.479282,0.0335958,-0.547036,,,,,,,,,,,,,,,,,,,,,,,
0.0791226,-0.515349,0.0188844,-0.521167,0.0360248,-0.588977,,,,,,,,,,,,,,,,,,,,,,,
0.0863852,-0.511791,0.0204837,-0.575019,0.0403406,-0.648892,,,,,,,,,,,,,,,,,,,,,,,
0.0955351,-0.480697,0.0204899,-0.612117,0.0451851,-0.652476,,,,,,,,,,,,,,,,,,,,,,,
0.1019956,-0.448393,0.0220915,-0.652805,0.0510996,-0.617705,,,,,,,,,,,,,,,,,,,,,,,
0.1089965,-0.40172,0.0242399,-0.679132,0.0553986,-0.578144,,,,,,,,,,,,,,,,,,,,,,,
0.1143807,-0.371805,0.0277367,-0.688706,0.0602345,-0.530193,,,,,,,,,,,,,,,,,,,,,,,
0.1203037,-0.337103,0.0325869,-0.651608,0.0639947,-0.487038,,,,,,,,,,,,,,,,,,,,,,,
0.1273042,-0.292825,0.0358222,-0.615707,0.0672174,-0.447479,,,,,,,,,,,,,,,,,,,,,,,
0.1316118,-0.267696,0.0390585,-0.573822,0.0712473,-0.407919,,,,,,,,,,,,,,,,,,,,,,,
0.138879,-0.236593,0.0431015,-0.535527,0.0752789,-0.377947,,,,,,,,,,,,,,,,,,,,,,,
0.146417,-0.194713,0.0455305,-0.493642,0.0793098,-0.344379,,,,,,,,,,,,,,,,,,,,,,,
0.1558371,-0.156435,0.048765,-0.462528,0.0838794,-0.313207,,,,,,,,,,,,,,,,,,,,,,,
0.1644505,-0.116955,0.0533461,-0.42543,0.0903309,-0.271244,,,,,,,,,,,,,,,,,,,,,,,
0.1709112,-0.083453,0.0584678,-0.373972,0.0951718,-0.253255,,,,,,,,,,,,,,,,,,,,,,,
0.1762935,-0.065515,0.0635876,-0.333283,0.0997403,-0.216091,,,,,,,,,,,,,,,,,,,,,,,
0.1835604,-0.03561,0.0697841,-0.291399,0.1035038,-0.192111,,,,,,,,,,,,,,,,,,,,,,,
0.1910958,-0.009299,0.0746341,-0.255497,0.1115717,-0.160931,,,,,,,,,,,,,,,,,,,,,,,
0.2018611,0.031368,0.0797542,-0.213613,0.1188308,-0.120165,,,,,,,,,,,,,,,,,,,,,,,
0.2126252,0.06485,0.086756,-0.183695,0.1263593,-0.081794,,,,,,,,,,,,,,,,,,,,,,,
0.2228514,0.098334,0.0918748,-0.14899,0.1379236,-0.038621,,,,,,,,,,,,,,,,,,,,,,,
0.2338851,0.135407,0.0999537,-0.115482,0.1467987,-0.00624,,,,,,,,,,,,,,,,,,,,,,,
0.24411,0.161705,0.1088406,-0.077188,0.1559435,0.022546,,,,,,,,,,,,,,,,,,,,,,,
0.2543358,0.192794,0.1177278,-0.037696,0.1626663,0.051326,,,,,,,,,,,,,,,,,,,,,,,
0.2650999,0.226275,0.1247292,-0.010172,0.1712735,0.076515,,,,,,,,,,,,,,,,,,,,,,,
0.2739803,0.253777,0.1325381,0.018549,0.1779965,0.104097,,,,,,,,,,,,,,,,,,,,,,,
0.2820529,0.276493,0.1395389,0.042483,0.1852593,0.122092,,,,,,,,,,,,,,,,,,,,,,,
0.2909325,0.299205,0.1513852,0.075991,0.1925206,0.149675,,,,,,,,,,,,,,,,,,,,,,,
0.3025031,0.330287,0.158925,0.104712,0.2040867,0.182062,,,,,,,,,,,,,,,,,,,,,,,
0.3116524,0.357788,0.1713104,0.143007,0.2137705,0.206055,,,,,,,,,,,,,,,,,,,,,,,
0.3194555,0.376913,0.1826181,0.174121,0.224799,0.234846,,,,,,,,,,,,,,,,,,,,,,,
0.3283347,0.39723,0.192311,0.204039,0.2342133,0.261236,,,,,,,,,,,,,,,,,,,,,,,
0.338559,0.419935,0.2038866,0.227973,0.2420132,0.286423,,,,,,,,,,,,,,,,,,,,,,,
0.3466317,0.442651,0.213041,0.256694,0.2519665,0.30802,,,,,,,,,,,,,,,,,,,,,,,
0.3568561,0.465356,0.2232711,0.280628,0.2603056,0.327216,,,,,,,,,,,,,,,,,,,,,,,
0.3684262,0.494043,0.2337707,0.306956,0.2710648,0.357204,,,,,,,,,,,,,,,,,,,,,,,
0.375961,0.516762,0.2413093,0.328497,0.276176,0.368003,,,,,,,,,,,,,,,,,,,,,,,
0.3891445,0.543046,0.2499233,0.344054,0.2877425,0.397993,,,,,,,,,,,,,,,,,,,,,,,
0.400446,0.572932,0.2623074,0.375168,0.2952751,0.412393,,,,,,,,,,,,,,,,,,,,,,,
0.4120147,0.593236,0.2725381,0.402693,0.3038827,0.435185,,,,,,,,,,,,,,,,,,,,,,,
0.4222397,0.619534,0.2803456,0.423037,0.3138362,0.455584,,,,,,,,,,,,,,,,,,,,,,,
0.4321925,0.626672,0.2905755,0.445774,0.3251358,0.47239,,,,,,,,,,,,,,,,,,,,,,,
0.4440276,0.631406,0.3008044,0.462528,0.3342824,0.490389,,,,,,,,,,,,,,,,,,,,,,,
0.4512882,0.622988,0.3113036,0.486462,0.3471945,0.520383,,,,,,,,,,,,,,,,,,,,,,,
0.4593528,0.5978,0.3247631,0.511593,0.3584933,0.541983,,,,,,,,,,,,,,,,,,,,,,,
0.4633828,0.571433,0.3368767,0.534331,0.3700597,0.573172,,,,,,,,,,,,,,,,,,,,,,,
0.4676805,0.537879,0.3489908,0.559461,0.3813589,0.592375,,,,,,,,,,,,,,,,,,,,,,,
0.4730517,0.489949,0.3567973,0.573822,0.3948102,0.616377,,,,,,,,,,,,,,,,,,,,,,,
0.4746588,0.450421,0.3683727,0.596559,0.406378,0.639176,,,,,,,,,,,,,,,,,,,,,,,
0.4778793,0.408489,0.379678,0.613313,0.4163315,0.659575,,,,,,,,,,,,,,,,,,,,,,,
0.4813668,0.35458,0.3907146,0.632461,0.4284388,0.673986,,,,,,,,,,,,,,,,,,,,,,,
0.4827043,0.31146,0.398791,0.651608,0.4397399,0.682402,,,,,,,,,,,,,,,,,,,,,,,
0.4843094,0.259955,0.4109038,0.669559,0.4548113,0.674049,,,,,,,,,,,,,,,,,,,,,,,
0.4864497,0.191682,0.4195176,0.683919,0.4610046,0.651292,,,,,,,,,,,,,,,,,,,,,,,
0.4888614,0.138976,0.428938,0.693493,0.4669326,0.605763,,,,,,,,,,,,,,,,,,,,,,,
0.492884,0.068298,0.4394339,0.69828,0.4725931,0.550646,,,,,,,,,,,,,,,,,,,,,,,
0.5,0.019183,0.4496596,0.695886,0.47718,0.478747,,,,,,,,,,,,,,,,,,,,,,,
,,0.4563842,0.677936,0.4801541,0.396057,,,,,,,,,,,,,,,,,,,,,,,
,,0.4633755,0.645625,0.4836627,0.334942,,,,,,,,,,,,,,,,,,,,,,,
,,0.4687514,0.608527,0.4839391,0.291797,,,,,,,,,,,,,,,,,,,,,,,
,,0.4711668,0.569035,0.4852949,0.230676,,,,,,,,,,,,,,,,,,,,,,,
,,0.4746575,0.52356,0.4871861,0.186336,,,,,,,,,,,,,,,,,,,,,,,
,,0.4768031,0.480479,0.4896197,0.116829,,,,,,,,,,,,,,,,,,,,,,,
,,0.4786786,0.431414,0.492589,0.062904,,,,,,,,,,,,,,,,,,,,,,,
,,0.4816281,0.367988,0.4960942,0.022163,,,,,,,,,,,,,,,,,,,,,,,
,,0.4837697,0.300972,0.5,-0.000601,,,,,,,,,,,,,,,,,,,,,,,
,,0.4853765,0.254301,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4869829,0.205236,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4891279,0.158564,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4915418,0.110696,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4931477,0.059237,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.4952948,0.024533,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.5,0.001795,,,,,,,,,,,,,,,,,,,,,,,,,
